バージョン,ゲーム数,勝ち数,負け数,引き分け数,勝率,合計収支,1ゲームの収支,備考
ai_player_Q_original,10000,6536,2169,1160,0.6536,-17175,-1.7175,元のコード
ai_player_Q,10000,4839,1360,844,0.4839,11895,1.1895,改善を加えた最終コード
